Batch 1
EO-131 | score=0.4697 | visible=True | priority=1
EO-132 | score=0.4458 | visible=True | priority=1
EO-133 | score=0.4407 | visible=True | priority=1
EO-134 | score=0.2063 | visible=True | priority=3
EO-135 | score=0.1787 | visible=False | priority=3
EO-136 | score=0.1625 | visible=False | priority=3
EO-137 | score=0.159 | visible=False | priority=3
EO-138 | score=0.2351 | visible=True | priority=3
EO-139 | score=0.2139 | visible=True | priority=3
EO-140 | score=0.2044 | visible=True | priority=3
Batch 15
EO-141 | score=0.3377 | visible=True | priority=2
EO-142 | score=0.2996 | visible=True | priority=3
EO-143 | score=0.2784 | visible=True | priority=3
EO-144 | score=0.2771 | visible=True | priority=3
EO-145 | score=0.3674 | visible=True | priority=2
EO-146 | score=0.3459 | visible=True | priority=2
EO-147 | score=0.3382 | visible=True | priority=2
EO-148 | score=0.2063 | visible=True | priority=3
EO-149 | score=0.1787 | visible=False | priority=3
EO-150 | score=0.1625 | visible=False | priority=3
Batch 16
EO-151 | score=0.159 | visible=False | priority=3
EO-152 | score=0.2351 | visible=True | priority=3
EO-153 | score=0.2139 | visible=True | priority=3
EO-154 | score=0.2041 | visible=True | priority=3
EO-155 | score=0.3377 | visible=True | priority=2
EO-156 | score=0.2996 | visible=True | priority=3
EO-157 | score=0.2784 | visible=True | priority=3
EO-158 | score=0.2771 | visible=True | priority=3
EO-159 | score=0.3674 | visible=True | priority=2
EO-160 | score=0.3459 | visible=True | priority=2
Batch 17
EO-161 | score=0.3386 | visible=True | priority=2
EO-162 | score=0.3486 | visible=True | priority=2
EO-163 | score=0.3067 | visible=True | priority=2
EO-164 | score=0.2882 | visible=True | priority=3
EO-165 | score=0.2744 | visible=True | priority=3
EO-166 | score=0.385 | visible=True | priority=2
EO-167 | score=0.3631 | visible=True | priority=2
EO-168 | score=0.3463 | visible=True | priority=2
EO-169 | score=0.3377 | visible=True | priority=2
EO-170 | score=0.2996 | visible=True | priority=3
Batch 18
EO-171 | score=0.2784 | visible=True | priority=3
EO-172 | score=0.2771 | visible=True | priority=3
EO-173 | score=0.3674 | visible=True | priority=2
EO-174 | score=0.3459 | visible=True | priority=2
EO-175 | score=0.3385 | visible=True | priority=2
EO-176 | score=0.4425 | visible=True | priority=1
EO-177 | score=0.4279 | visible=True | priority=1
EO-178 | score=0.4146 | visible=True | priority=1
EO-179 | score=0.3818 | visible=True | priority=2
EO-180 | score=0.4697 | visible=True | priority=1
Batch 19
EO-181 | score=0.4458 | visible=True | priority=1
EO-182 | score=0.4414 | visible=True | priority=1
EO-183 | score=0.2063 | visible=True | priority=3
EO-184 | score=0.1787 | visible=False | priority=3
EO-185 | score=0.1625 | visible=False | priority=3
EO-186 | score=0.159 | visible=False | priority=3
EO-187 | score=0.2351 | visible=True | priority=3
EO-188 | score=0.2139 | visible=True | priority=3
EO-189 | score=0.2038 | visible=True | priority=3
EO-190 | score=0.3486 | visible=True | priority=2
Batch 20
EO-191 | score=0.3067 | visible=True | priority=2
EO-192 | score=0.2882 | visible=True | priority=3
EO-193 | score=0.2744 | visible=True | priority=3
EO-194 | score=0.385 | visible=True | priority=2
EO-195 | score=0.3631 | visible=True | priority=2
EO-196 | score=0.3463 | visible=True | priority=2
EO-197 | score=0.3474 | visible=True | priority=2
EO-198 | score=0.3313 | visible=True | priority=2
EO-199 | score=0.3267 | visible=True | priority=2
EO-200 | score=0.3276 | visible=True | priority=2
Batch processing completed.

Clustering with k=3
EO-001 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-002 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-003 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-004 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-005 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-006 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-007 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-008 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-009 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-010 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-011 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-012 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-013 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-014 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
